2022-11-09 16:21:02 status unpacked liblvm2cmd2.03:amd64 2.03.02-3
2022-11-09 16:21:02 status half-configured liblvm2cmd2.03:amd64 2.03.02-3
2022-11-09 16:21:02 status installed liblvm2cmd2.03:amd64 2.03.02-3
2022-11-09 16:21:02 configure dmeventd:amd64 2:1.02.155-3 <ninguna>
2022-11-09 16:21:02 status unpacked dmeventd:amd64 2:1.02.155-3
2022-11-09 16:21:02 status half-configured dmeventd:amd64 2:1.02.155-3
2022-11-09 16:21:03 status installed dmeventd:amd64 2:1.02.155-3
2022-11-09 16:21:03 configure lvm2:amd64 2.03.02-3 <ninguna>
2022-11-09 16:21:03 status unpacked lvm2:amd64 2.03.02-3
2022-11-09 16:21:03 status half-configured lvm2:amd64 2.03.02-3
2022-11-09 16:21:05 status installed lvm2:amd64 2.03.02-3
2022-11-09 16:21:05 trigproc libc-bin:amd64 2.28-10 <ninguna>
2022-11-09 16:21:05 status half-configured libc-bin:amd64 2.28-10
2022-11-09 16:21:05 status installed libc-bin:amd64 2.28-10
2022-11-09 16:21:05 trigproc systemd:amd64 241-7~deb10u4 <ninguna>
2022-11-09 16:21:05 status half-configured systemd:amd64 241-7~deb10u4
2022-11-09 16:21:05 status installed systemd:amd64 241-7~deb10u4
2022-11-09 16:21:05 trigproc man-db:amd64 2.8.5-2 <ninguna>
2022-11-09 16:21:05 status half-configured man-db:amd64 2.8.5-2
2022-11-09 16:21:06 status installed man-db:amd64 2.8.5-2
2022-11-09 16:21:06 trigproc initramfs-tools:all 0.133+deb10u1 <ninguna>
2022-11-09 16:21:06 status half-configured initramfs-tools:all 0.133+deb10u1
2022-11-09 16:21:16 status installed initramfs-tools:all 0.133+deb10u1
2022-11-09 16:22:56 startup archives unpack
2022-11-09 16:22:56 upgrade base-files:amd64 10.3+deb10u4 10.3+deb10u13
2022-11-09 16:22:56 status half-configured base-files:amd64 10.3+deb10u4
2022-11-09 16:22:56 status unpacked base-files:amd64 10.3+deb10u4
2022-11-09 16:22:56 status half-installed base-files:amd64 10.3+deb10u4
2022-11-09 16:22:56 status triggers-pending man-db:amd64 2.8.5-2
2022-11-09 16:22:56 status unpacked base-files:amd64 10.3+deb10u13
2022-11-09 16:22:56 startup packages configure
2022-11-09 16:22:56 configure base-files:amd64 10.3+deb10u13 <ninguna>
2022-11-09 16:22:56 status unpacked base-files:amd64 10.3+deb10u13
2022-11-09 16:22:56 status half-configured base-files:amd64 10.3+deb10u13
2022-11-09 16:22:56 status installed base-files:amd64 10.3+deb10u13
2022-11-09 16:22:56 startup archives unpack
2022-11-09 16:22:56 upgrade dpkg:amd64 1.19.7 1.19.8
2022-11-09 16:22:56 status half-configured dpkg:amd64 1.19.7
2022-11-09 16:22:56 status unpacked dpkg:amd64 1.19.7
2022-11-09 16:22:57 status half-installed dpkg:amd64 1.19.7
2022-11-09 16:22:57 status unpacked dpkg:amd64 1.19.8
2022-11-09 16:22:57 startup packages configure
2022-11-09 16:22:57 configure dpkg:amd64 1.19.8 <ninguna>
2022-11-09 16:22:57 status unpacked dpkg:amd64 1.19.8
2022-11-09 16:22:57 status half-configured dpkg:amd64 1.19.8
2022-11-09 16:22:57 status installed dpkg:amd64 1.19.8
2022-11-09 16:22:57 startup archives unpack
2022-11-09 16:22:57 upgrade gzip:amd64 1.9-3 1.9-3+deb10u1
2022-11-09 16:22:57 status half-configured gzip:amd64 1.9-3
2022-11-09 16:22:57 status unpacked gzip:amd64 1.9-3
2022-11-09 16:22:57 status half-installed gzip:amd64 1.9-3
2022-11-09 16:22:57 status unpacked gzip:amd64 1.9-3+deb10u1
2022-11-09 16:22:57 startup packages configure
2022-11-09 16:22:57 configure gzip:amd64 1.9-3+deb10u1 <ninguna>
2022-11-09 16:22:57 status unpacked gzip:amd64 1.9-3+deb10u1
2022-11-09 16:22:57 status half-configured gzip:amd64 1.9-3+deb10u1
2022-11-09 16:22:57 status installed gzip:amd64 1.9-3+deb10u1
2022-11-09 16:22:57 startup archives unpack
2022-11-09 16:22:57 upgrade ncurses-bin:amd64 6.1+20181013-2+deb10u2 6.1+20181013-2+deb10u3
2022-11-09 16:22:57 status half-configured ncurses-bin:amd64 6.1+20181013-2+deb10u2
2022-11-09 16:22:57 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2022-11-09 16:22:57 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2022-11-09 16:22:57 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u3
2022-11-09 16:22:57 startup packages configure
2022-11-09 16:22:57 configure ncurses-bin:amd64 6.1+20181013-2+deb10u3 <ninguna>
2022-11-09 16:22:57 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u3
2022-11-09 16:22:57 status half-configured ncurses-bin:amd64 6.1+20181013-2+deb10u3
2022-11-09 16:22:57 status installed ncurses-bin:amd64 6.1+20181013-2+deb10u3
2022-11-09 16:22:57 startup archives unpack
2022-11-09 16:22:57 upgrade libperl5.28:amd64 5.28.1-6 5.28.1-6+deb10u1
2022-11-09 16:22:57 status triggers-pending libc-bin:amd64 2.28-10
2022-11-09 16:22:57 status half-configured libperl5.28:amd64 5.28.1-6
2022-11-09 16:22:57 status unpacked libperl5.28:amd64 5.28.1-6
2022-11-09 16:22:57 status half-installed libperl5.28:amd64 5.28.1-6
2022-11-09 16:22:58 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2022-11-09 16:22:58 upgrade perl:amd64 5.28.1-6 5.28.1-6+deb10u1
2022-11-09 16:22:58 status half-configured perl:amd64 5.28.1-6
2022-11-09 16:22:58 status unpacked perl:amd64 5.28.1-6
2022-11-09 16:22:58 status half-installed perl:amd64 5.28.1-6
2022-11-09 16:22:58 status unpacked perl:amd64 5.28.1-6+deb10u1
2022-11-09 16:22:58 upgrade perl-base:amd64 5.28.1-6 5.28.1-6+deb10u1
2022-11-09 16:22:58 status half-configured perl-base:amd64 5.28.1-6
2022-11-09 16:22:58 status unpacked perl-base:amd64 5.28.1-6
2022-11-09 16:22:58 status half-installed perl-base:amd64 5.28.1-6
2022-11-09 16:22:59 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2022-11-09 16:22:59 startup packages configure
2022-11-09 16:22:59 configure perl-base:amd64 5.28.1-6+deb10u1 <ninguna>
2022-11-09 16:22:59 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2022-11-09 16:22:59 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2022-11-09 16:22:59 status installed perl-base:amd64 5.28.1-6+deb10u1
2022-11-09 16:22:59 startup archives unpack
2022-11-09 16:22:59 upgrade perl-modules-5.28:all 5.28.1-6 5.28.1-6+deb10u1
2022-11-09 16:22:59 status half-configured perl-modules-5.28:all 5.28.1-6
2022-11-09 16:22:59 status unpacked perl-modules-5.28:all 5.28.1-6
2022-11-09 16:22:59 status half-installed perl-modules-5.28:all 5.28.1-6
2022-11-09 16:23:00 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2022-11-09 16:23:00 upgrade libc6:amd64 2.28-10 2.28-10+deb10u2
2022-11-09 16:23:00 status half-configured libc6:amd64 2.28-10
2022-11-09 16:23:00 status unpacked libc6:amd64 2.28-10
2022-11-09 16:23:00 status half-installed libc6:amd64 2.28-10
2022-11-09 16:23:00 status unpacked libc6:amd64 2.28-10+deb10u2
2022-11-09 16:23:01 startup packages configure
2022-11-09 16:23:01 configure libc6:amd64 2.28-10+deb10u2 <ninguna>
2022-11-09 16:23:01 status unpacked libc6:amd64 2.28-10+deb10u2
2022-11-09 16:23:01 status half-configured libc6:amd64 2.28-10+deb10u2
2022-11-09 16:23:01 status installed libc6:amd64 2.28-10+deb10u2
2022-11-09 16:23:01 startup archives unpack
2022-11-09 16:23:01 upgrade bzip2:amd64 1.0.6-9.2~deb10u1 1.0.6-9.2~deb10u2
2022-11-09 16:23:01 status half-configured bzip2:amd64 1.0.6-9.2~deb10u1
2022-11-09 16:23:01 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2022-11-09 16:23:01 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2022-11-09 16:23:01 status unpacked bzip2:amd64 1.0.6-9.2~deb10u2
2022-11-09 16:23:01 upgrade libbz2-1.0:amd64 1.0.6-9.2~deb10u1 1.0.6-9.2~deb10u2
2022-11-09 16:23:01 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2022-11-09 16:23:01 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2022-11-09 16:23:01 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2022-11-09 16:23:01 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u2
2022-11-09 16:23:01 startup packages configure
2022-11-09 16:23:01 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u2 <ninguna>
2022-11-09 16:23:01 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u2
2022-11-09 16:23:01 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u2
2022-11-09 16:23:01 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u2
2022-11-09 16:23:01 startup archives unpack
2022-11-09 16:23:01 upgrade zlib1g:amd64 1:1.2.11.dfsg-1 1:1.2.11.dfsg-1+deb10u2
2022-11-09 16:23:01 status half-configured zlib1g:amd64 1:1.2.11.dfsg-1
2022-11-09 16:23:01 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2022-11-09 16:23:01 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2022-11-09 16:23:01 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1+deb10u2
2022-11-09 16:23:01 startup packages configure
2022-11-09 16:23:01 configure zlib1g:amd64 1:1.2.11.dfsg-1+deb10u2 <ninguna>
2022-11-09 16:23:01 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1+deb10u2
2022-11-09 16:23:01 status half-configured zlib1g:amd64 1:1.2.11.dfsg-1+deb10u2
2022-11-09 16:23:01 status installed zlib1g:amd64 1:1.2.11.dfsg-1+deb10u2
2022-11-09 16:23:01 startup archives unpack
2022-11-09 16:23:01 upgrade liblz4-1:amd64 1.8.3-1 1.8.3-1+deb10u1
2022-11-09 16:23:01 status half-configured liblz4-1:amd64 1.8.3-1
2022-11-09 16:23:01 status unpacked liblz4-1:amd64 1.8.3-1
2022-11-09 16:23:01 status half-installed liblz4-1:amd64 1.8.3-1
2022-11-09 16:23:01 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2022-11-09 16:23:01 startup packages configure
2022-11-09 16:23:01 configure liblz4-1:amd64 1.8.3-1+deb10u1 <ninguna>
2022-11-09 16:23:01 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2022-11-09 16:23:01 status half-configured liblz4-1:amd64 1.8.3-1+deb10u1
2022-11-09 16:23:01 status installed liblz4-1:amd64 1.8.3-1+deb10u1
2022-11-09 16:23:01 startup archives unpack
2022-11-09 16:23:01 upgrade liblzma5:amd64 5.2.4-1 5.2.4-1+deb10u1
2022-11-09 16:23:01 status half-configured liblzma5:amd64 5.2.4-1
2022-11-09 16:23:01 status unpacked liblzma5:amd64 5.2.4-1
2022-11-09 16:23:01 status half-installed liblzma5:amd64 5.2.4-1
2022-11-09 16:23:01 status unpacked liblzma5:amd64 5.2.4-1+deb10u1
2022-11-09 16:23:01 startup packages configure
2022-11-09 16:23:01 configure liblzma5:amd64 5.2.4-1+deb10u1 <ninguna>
2022-11-09 16:23:01 status unpacked liblzma5:amd64 5.2.4-1+deb10u1
2022-11-09 16:23:01 status half-configured liblzma5:amd64 5.2.4-1+deb10u1
2022-11-09 16:23:01 status installed liblzma5:amd64 5.2.4-1+deb10u1
2022-11-09 16:23:01 startup archives unpack
2022-11-09 16:23:01 upgrade libnss-systemd:amd64 241-7~deb10u4 241-7~deb10u8
2022-11-09 16:23:01 status half-configured libnss-systemd:amd64 241-7~deb10u4
2022-11-09 16:23:01 status unpacked libnss-systemd:amd64 241-7~deb10u4
2022-11-09 16:23:01 status half-installed libnss-systemd:amd64 241-7~deb10u4
2022-11-09 16:23:01 status unpacked libnss-systemd:amd64 241-7~deb10u8
2022-11-09 16:23:02 upgrade libsystemd0:amd64 241-7~deb10u4 241-7~deb10u8
2022-11-09 16:23:02 status half-configured libsystemd0:amd64 241-7~deb10u4
2022-11-09 16:23:02 status unpacked libsystemd0:amd64 241-7~deb10u4
2022-11-09 16:23:02 status half-installed libsystemd0:amd64 241-7~deb10u4
2022-11-09 16:23:02 status unpacked libsystemd0:amd64 241-7~deb10u8
2022-11-09 16:23:02 startup packages configure
2022-11-09 16:23:02 configure libsystemd0:amd64 241-7~deb10u8 <ninguna>
2022-11-09 16:23:02 status unpacked libsystemd0:amd64 241-7~deb10u8
2022-11-09 16:23:02 status half-configured libsystemd0:amd64 241-7~deb10u8
2022-11-09 16:23:02 status installed libsystemd0:amd64 241-7~deb10u8
2022-11-09 16:23:02 startup archives unpack
2022-11-09 16:23:02 upgrade libpam-systemd:amd64 241-7~deb10u4 241-7~deb10u8
2022-11-09 16:23:02 status half-configured libpam-systemd:amd64 241-7~deb10u4
2022-11-09 16:23:02 status unpacked libpam-systemd:amd64 241-7~deb10u4
2022-11-09 16:23:02 status half-installed libpam-systemd:amd64 241-7~deb10u4
2022-11-09 16:23:02 status unpacked libpam-systemd:amd64 241-7~deb10u8
2022-11-09 16:23:02 upgrade systemd:amd64 241-7~deb10u4 241-7~deb10u8
2022-11-09 16:23:02 status half-configured systemd:amd64 241-7~deb10u4
2022-11-09 16:23:02 status unpacked systemd:amd64 241-7~deb10u4
2022-11-09 16:23:02 status half-installed systemd:amd64 241-7~deb10u4
2022-11-09 16:23:02 status triggers-pending dbus:amd64 1.12.16-1
2022-11-09 16:23:03 status unpacked systemd:amd64 241-7~deb10u8
2022-11-09 16:23:03 upgrade bluez:amd64 5.50-1.2~deb10u1 5.50-1.2~deb10u3
2022-11-09 16:23:03 status half-configured bluez:amd64 5.50-1.2~deb10u1
2022-11-09 16:23:03 status unpacked bluez:amd64 5.50-1.2~deb10u1
2022-11-09 16:23:03 status half-installed bluez:amd64 5.50-1.2~deb10u1
2022-11-09 16:23:03 status unpacked bluez:amd64 5.50-1.2~deb10u3
2022-11-09 16:23:03 upgrade udev:amd64 241-7~deb10u4 241-7~deb10u8
2022-11-09 16:23:03 status half-configured udev:amd64 241-7~deb10u4
2022-11-09 16:23:03 status unpacked udev:amd64 241-7~deb10u4
2022-11-09 16:23:03 status half-installed udev:amd64 241-7~deb10u4
2022-11-09 16:23:03 status unpacked udev:amd64 241-7~deb10u8
2022-11-09 16:23:03 upgrade libudev1:amd64 241-7~deb10u4 241-7~deb10u8
2022-11-09 16:23:03 status half-configured libudev1:amd64 241-7~deb10u4
2022-11-09 16:23:03 status unpacked libudev1:amd64 241-7~deb10u4
2022-11-09 16:23:03 status half-installed libudev1:amd64 241-7~deb10u4
2022-11-09 16:23:03 status unpacked libudev1:amd64 241-7~deb10u8
2022-11-09 16:23:03 startup packages configure
2022-11-09 16:23:03 configure libudev1:amd64 241-7~deb10u8 <ninguna>
2022-11-09 16:23:03 status unpacked libudev1:amd64 241-7~deb10u8
2022-11-09 16:23:03 status half-configured libudev1:amd64 241-7~deb10u8
2022-11-09 16:23:03 status installed libudev1:amd64 241-7~deb10u8
2022-11-09 16:23:03 startup archives unpack
2022-11-09 16:23:04 upgrade libexpat1:amd64 2.2.6-2+deb10u1 2.2.6-2+deb10u6
2022-11-09 16:23:04 status half-configured libexpat1:amd64 2.2.6-2+deb10u1
2022-11-09 16:23:04 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2022-11-09 16:23:04 status half-installed libexpat1:amd64 2.2.6-2+deb10u1
2022-11-09 16:23:04 status unpacked libexpat1:amd64 2.2.6-2+deb10u6
2022-11-09 16:23:04 upgrade libdbus-1-3:amd64 1.12.16-1 1.12.24-0+deb10u1
2022-11-09 16:23:04 status half-configured libdbus-1-3:amd64 1.12.16-1
2022-11-09 16:23:04 status unpacked libdbus-1-3:amd64 1.12.16-1
2022-11-09 16:23:04 status half-installed libdbus-1-3:amd64 1.12.16-1
2022-11-09 16:23:04 status unpacked libdbus-1-3:amd64 1.12.24-0+deb10u1
2022-11-09 16:23:04 upgrade dbus:amd64 1.12.16-1 1.12.24-0+deb10u1
2022-11-09 16:23:04 status half-configured dbus:amd64 1.12.16-1
2022-11-09 16:23:04 status unpacked dbus:amd64 1.12.16-1
2022-11-09 16:23:04 status half-installed dbus:amd64 1.12.16-1
2022-11-09 16:23:04 status unpacked dbus:amd64 1.12.24-0+deb10u1
2022-11-09 16:23:04 upgrade libglib2.0-0:amd64 2.58.3-2+deb10u2 2.58.3-2+deb10u4
2022-11-09 16:23:04 status half-configured libglib2.0-0:amd64 2.58.3-2+deb10u2
2022-11-09 16:23:04 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2022-11-09 16:23:04 status half-installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2022-11-09 16:23:04 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u4
2022-11-09 16:23:04 startup packages configure
2022-11-09 16:23:04 configure systemd:amd64 241-7~deb10u8 <ninguna>
2022-11-09 16:23:04 status unpacked systemd:amd64 241-7~deb10u8
2022-11-09 16:23:04 status half-configured systemd:amd64 241-7~deb10u8
2022-11-09 16:23:05 status installed systemd:amd64 241-7~deb10u8
2022-11-09 16:23:05 startup archives unpack
2022-11-09 16:23:05 upgrade systemd-sysv:amd64 241-7~deb10u4 241-7~deb10u8
2022-11-09 16:23:05 status half-configured systemd-sysv:amd64 241-7~deb10u4
2022-11-09 16:23:05 status unpacked systemd-sysv:amd64 241-7~deb10u4
2022-11-09 16:23:05 status half-installed systemd-sysv:amd64 241-7~deb10u4
2022-11-09 16:23:05 status unpacked systemd-sysv:amd64 241-7~deb10u8
2022-11-09 16:23:05 upgrade libgmp10:amd64 2:6.1.2+dfsg-4 2:6.1.2+dfsg-4+deb10u1
2022-11-09 16:23:05 status half-configured libgmp10:amd64 2:6.1.2+dfsg-4
2022-11-09 16:23:05 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2022-11-09 16:23:05 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2022-11-09 16:23:05 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2022-11-09 16:23:05 startup packages configure
2022-11-09 16:23:05 configure libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1 <ninguna>
2022-11-09 16:23:05 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2022-11-09 16:23:05 status half-configured libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2022-11-09 16:23:05 status installed libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2022-11-09 16:23:05 startup archives unpack
2022-11-09 16:23:05 upgrade libnettle6:amd64 3.4.1-1 3.4.1-1+deb10u1
2022-11-09 16:23:05 status half-configured libnettle6:amd64 3.4.1-1
2022-11-09 16:23:05 status unpacked libnettle6:amd64 3.4.1-1
2022-11-09 16:23:05 status half-installed libnettle6:amd64 3.4.1-1
2022-11-09 16:23:05 status unpacked libnettle6:amd64 3.4.1-1+deb10u1
2022-11-09 16:23:05 startup packages configure
2022-11-09 16:23:05 configure libnettle6:amd64 3.4.1-1+deb10u1 <ninguna>
2022-11-09 16:23:05 status unpacked libnettle6:amd64 3.4.1-1+deb10u1
